exposure,health_outcome,article_count,positive,negative,null,mixed,unclear
PFAS,mortality,11,0,0,0,0,0
PFOA,asthma,11,0,0,0,0,0
PFOS,birth weight,11,0,0,0,0,0
air pollution,birth weight/fetal growth,11,0,0,0,0,0
air pollution,reproductive,11,0,0,0,0,0
black carbon,birth weight,11,0,0,0,0,0
PFAS,respiratory,10,0,0,0,0,0
PFOA,immune,10,0,0,0,0,0
PFOA,maternal blood pressure,10,0,0,0,0,0
PFOA,neurodevelopment,10,0,0,0,0,0
air pollution,cancer,10,0,0,0,0,0
black carbon,immune/inflammation,10,0,0,0,0,0
lead,mortality,10,0,0,0,0,0
ozone (O3),immune/inflammation,10,0,0,0,0,0
particulate matter,autism spectrum disorder,10,0,0,0,0,0
particulate matter,reproductive,10,0,0,0,0,0
PFOA,pregnancy outcomes,9,0,0,0,0,0
PM10,cardiovascular mortality,9,0,0,0,0,0
PM10,diabetes,9,0,0,0,0,0
air pollution,kidney,9,0,0,0,0,0
black carbon,diabetes,9,0,0,0,0,0
cadmium,cardiovascular,9,0,0,0,0,0
green space/greenness,asthma,9,0,0,0,0,0
green space/greenness,mortality,9,0,0,0,0,0
PFOS,thyroid,8,0,0,0,0,0
PM2.5,kidney,8,0,0,0,0,0
air pollution,autism spectrum disorder,8,0,0,0,0,0
air pollution,cardiovascular disease mortality,8,0,0,0,0,0
black carbon,hypertension,8,0,0,0,0,0
black carbon,preterm birth,8,0,0,0,0,0
heat/temperature,birth weight/fetal growth,8,0,0,0,0,0
lead,respiratory,8,0,0,0,0,0
nitrogen dioxide (NO2),birth weight/fetal growth,8,0,0,0,0,0
nitrogen dioxide (NO2),cardiovascular disease mortality,8,0,0,0,0,0
nitrogen dioxide (NO2),immune,8,0,0,0,0,0
noise,hypertension,8,0,0,0,0,0
noise,mortality,8,0,0,0,0,0
ozone (O3),diabetes,8,0,0,0,0,0
particulate matter,kidney,8,0,0,0,0,0
particulate matter,liver,8,0,0,0,0,0
PFOS,liver,7,0,0,0,0,0
PM2.5,apoptosis-related signaling,7,0,0,0,0,0
PM2.5,cardiovascular disease mortality,7,0,0,0,0,0
PM2.5,cognition,7,0,0,0,0,0
green space/greenness,hypertension,7,0,0,0,0,0
green space/greenness,preterm birth,7,0,0,0,0,0
heat/temperature,fertility,7,0,0,0,0,0
heat/temperature,kidney,7,0,0,0,0,0
nitrogen dioxide (NO2),cancer,7,0,0,0,0,0
nitrogen dioxide (NO2),thyroid,7,0,0,0,0,0
PFAS,cancer,6,0,0,0,0,0
PFAS,cellular toxicity / mechanistic outcome,6,0,0,0,0,0
PFAS,cognition,6,0,0,0,0,0
PFAS,kidney,6,0,0,0,0,0
PFOA,birth weight/fetal growth,6,0,0,0,0,0
PFOA,preterm birth,6,0,0,0,0,0
PFOS,maternal blood pressure,6,0,0,0,0,0
PM10,all-cause mortality,6,0,0,0,0,0
PM2.5,thyroid,6,0,0,0,0,0
air pollution,major adverse kidney events,6,0,0,0,0,0
black carbon,cardiovascular mortality,6,0,0,0,0,0
black carbon,neurodevelopment,6,0,0,0,0,0
heat/temperature,immune,6,0,0,0,0,0
heat/temperature,neurodevelopment,6,0,0,0,0,0
nitrogen dioxide (NO2),all-cause mortality,6,0,0,0,0,0
nitrogen dioxide (NO2),kidney,6,0,0,0,0,0
nitrogen dioxide (NO2),neurodevelopment,6,0,0,0,0,0
nitrogen dioxide (NO2),reproductive,6,0,0,0,0,0
ozone (O3),cardiovascular mortality,6,0,0,0,0,0
ozone (O3),hypertension,6,0,0,0,0,0
particulate matter,apoptosis-related signaling,6,0,0,0,0,0
particulate matter,fertility,6,0,0,0,0,0
PFOA,diabetes,5,0,0,0,0,0
PFOA,hypertension,5,0,0,0,0,0
PFOS,asthma,5,0,0,0,0,0
PFOS,birth weight/fetal growth,5,0,0,0,0,0
PFOS,reproductive,5,0,0,0,0,0
PM10,cancer,5,0,0,0,0,0
PM10,hypertension,5,0,0,0,0,0
PM10,immune/inflammation,5,0,0,0,0,0
PM10,maternal blood pressure,5,0,0,0,0,0
air pollution,thyroid,5,0,0,0,0,0
noise,immune/inflammation,5,0,0,0,0,0
noise,maternal blood pressure,5,0,0,0,0,0
ozone (O3),pregnancy outcomes,5,0,0,0,0,0
particulate matter,cellular toxicity / mechanistic outcome,5,0,0,0,0,0
phthalate,birth weight,5,0,0,0,0,0
wildfire smoke,all-cause mortality,5,0,0,0,0,0
PFAS,autism spectrum disorder,4,0,0,0,0,0
PFAS,autism-related traits,4,0,0,0,0,0
PFAS,obesity,4,0,0,0,0,0
PFOA,autism spectrum disorder,4,0,0,0,0,0
PFOA,fertility,4,0,0,0,0,0
PFOS,diabetes,4,0,0,0,0,0
PFOS,preterm birth,4,0,0,0,0,0
PM10,birth weight/fetal growth,4,0,0,0,0,0
PM10,pregnancy outcomes,4,0,0,0,0,0
PM2.5,fertility,4,0,0,0,0,0
air pollution,all-cause mortality,4,0,0,0,0,0
air pollution,fertility,4,0,0,0,0,0
air pollution,liver,4,0,0,0,0,0
