batch_index,batch_label,batch_size,error_type,error
125,PDF batch 125/6155 (1 references),1,ConnectionError,"HTTPSConnectionPool(host='dev.posit.niehs.nih.gov', port=443): Max retries exceeded with url: /et/api/pdf-download (Caused by NameResolutionError(""HTTPSConnection(host='dev.posit.niehs.nih.gov', port=443): Failed to resolve 'dev.posit.niehs.nih.gov' ([Errno 8] nodename nor servname provided, or not known)""))"
218,PDF batch 218/6155 (1 references),1,ConnectionError,"HTTPSConnectionPool(host='dev.posit.niehs.nih.gov', port=443): Max retries exceeded with url: /et/api/pdf-download (Caused by NameResolutionError(""HTTPSConnection(host='dev.posit.niehs.nih.gov', port=443): Failed to resolve 'dev.posit.niehs.nih.gov' ([Errno 8] nodename nor servname provided, or not known)""))"
48,PDF batch 48/6155 (1 references),1,ConnectionError,"HTTPSConnectionPool(host='dev.posit.niehs.nih.gov', port=443): Max retries exceeded with url: /et/api/pdf-download (Caused by NameResolutionError(""HTTPSConnection(host='dev.posit.niehs.nih.gov', port=443): Failed to resolve 'dev.posit.niehs.nih.gov' ([Errno 8] nodename nor servname provided, or not known)""))"
139,PDF batch 139/6155 (1 references),1,ConnectionError,"HTTPSConnectionPool(host='dev.posit.niehs.nih.gov', port=443): Max retries exceeded with url: /et/api/pdf-download (Caused by NameResolutionError(""HTTPSConnection(host='dev.posit.niehs.nih.gov', port=443): Failed to resolve 'dev.posit.niehs.nih.gov' ([Errno 8] nodename nor servname provided, or not known)""))"
221,PDF batch 221/6155 (1 references),1,ConnectionError,"HTTPSConnectionPool(host='dev.posit.niehs.nih.gov', port=443): Max retries exceeded with url: /et/api/pdf-download (Caused by NameResolutionError(""HTTPSConnection(host='dev.posit.niehs.nih.gov', port=443): Failed to resolve 'dev.posit.niehs.nih.gov' ([Errno 8] nodename nor servname provided, or not known)""))"
219,PDF batch 219/6155 (1 references),1,ConnectionError,"HTTPSConnectionPool(host='dev.posit.niehs.nih.gov', port=443): Max retries exceeded with url: /et/api/pdf-download (Caused by NameResolutionError(""HTTPSConnection(host='dev.posit.niehs.nih.gov', port=443): Failed to resolve 'dev.posit.niehs.nih.gov' ([Errno 8] nodename nor servname provided, or not known)""))"
220,PDF batch 220/6155 (1 references),1,ConnectionError,"HTTPSConnectionPool(host='dev.posit.niehs.nih.gov', port=443): Max retries exceeded with url: /et/api/pdf-download (Caused by NameResolutionError(""HTTPSConnection(host='dev.posit.niehs.nih.gov', port=443): Failed to resolve 'dev.posit.niehs.nih.gov' ([Errno 8] nodename nor servname provided, or not known)""))"
222,PDF batch 222/6155 (1 references),1,ConnectionError,"HTTPSConnectionPool(host='dev.posit.niehs.nih.gov', port=443): Max retries exceeded with url: /et/api/pdf-download (Caused by NameResolutionError(""HTTPSConnection(host='dev.posit.niehs.nih.gov', port=443): Failed to resolve 'dev.posit.niehs.nih.gov' ([Errno 8] nodename nor servname provided, or not known)""))"
223,PDF batch 223/6155 (1 references),1,ConnectionError,"HTTPSConnectionPool(host='dev.posit.niehs.nih.gov', port=443): Max retries exceeded with url: /et/api/pdf-download (Caused by NameResolutionError(""HTTPSConnection(host='dev.posit.niehs.nih.gov', port=443): Failed to resolve 'dev.posit.niehs.nih.gov' ([Errno 8] nodename nor servname provided, or not known)""))"
224,PDF batch 224/6155 (1 references),1,ConnectionError,"HTTPSConnectionPool(host='dev.posit.niehs.nih.gov', port=443): Max retries exceeded with url: /et/api/pdf-download (Caused by NameResolutionError(""HTTPSConnection(host='dev.posit.niehs.nih.gov', port=443): Failed to resolve 'dev.posit.niehs.nih.gov' ([Errno 8] nodename nor servname provided, or not known)""))"
225,PDF batch 225/6155 (1 references),1,ConnectionError,"HTTPSConnectionPool(host='dev.posit.niehs.nih.gov', port=443): Max retries exceeded with url: /et/api/pdf-download (Caused by NameResolutionError(""HTTPSConnection(host='dev.posit.niehs.nih.gov', port=443): Failed to resolve 'dev.posit.niehs.nih.gov' ([Errno 8] nodename nor servname provided, or not known)""))"
226,PDF batch 226/6155 (1 references),1,ConnectionError,"HTTPSConnectionPool(host='dev.posit.niehs.nih.gov', port=443): Max retries exceeded with url: /et/api/pdf-download (Caused by NameResolutionError(""HTTPSConnection(host='dev.posit.niehs.nih.gov', port=443): Failed to resolve 'dev.posit.niehs.nih.gov' ([Errno 8] nodename nor servname provided, or not known)""))"
227,PDF batch 227/6155 (1 references),1,ConnectionError,"HTTPSConnectionPool(host='dev.posit.niehs.nih.gov', port=443): Max retries exceeded with url: /et/api/pdf-download (Caused by NameResolutionError(""HTTPSConnection(host='dev.posit.niehs.nih.gov', port=443): Failed to resolve 'dev.posit.niehs.nih.gov' ([Errno 8] nodename nor servname provided, or not known)""))"
228,PDF batch 228/6155 (1 references),1,ConnectionError,"HTTPSConnectionPool(host='dev.posit.niehs.nih.gov', port=443): Max retries exceeded with url: /et/api/pdf-download (Caused by NameResolutionError(""HTTPSConnection(host='dev.posit.niehs.nih.gov', port=443): Failed to resolve 'dev.posit.niehs.nih.gov' ([Errno 8] nodename nor servname provided, or not known)""))"
229,PDF batch 229/6155 (1 references),1,ConnectionError,"HTTPSConnectionPool(host='dev.posit.niehs.nih.gov', port=443): Max retries exceeded with url: /et/api/pdf-download (Caused by NameResolutionError(""HTTPSConnection(host='dev.posit.niehs.nih.gov', port=443): Failed to resolve 'dev.posit.niehs.nih.gov' ([Errno 8] nodename nor servname provided, or not known)""))"
230,PDF batch 230/6155 (1 references),1,ConnectionError,"HTTPSConnectionPool(host='dev.posit.niehs.nih.gov', port=443): Max retries exceeded with url: /et/api/pdf-download (Caused by NameResolutionError(""HTTPSConnection(host='dev.posit.niehs.nih.gov', port=443): Failed to resolve 'dev.posit.niehs.nih.gov' ([Errno 8] nodename nor servname provided, or not known)""))"
231,PDF batch 231/6155 (1 references),1,ConnectionError,"HTTPSConnectionPool(host='dev.posit.niehs.nih.gov', port=443): Max retries exceeded with url: /et/api/pdf-download (Caused by NameResolutionError(""HTTPSConnection(host='dev.posit.niehs.nih.gov', port=443): Failed to resolve 'dev.posit.niehs.nih.gov' ([Errno 8] nodename nor servname provided, or not known)""))"
232,PDF batch 232/6155 (1 references),1,ConnectionError,"HTTPSConnectionPool(host='dev.posit.niehs.nih.gov', port=443): Max retries exceeded with url: /et/api/pdf-download (Caused by NameResolutionError(""HTTPSConnection(host='dev.posit.niehs.nih.gov', port=443): Failed to resolve 'dev.posit.niehs.nih.gov' ([Errno 8] nodename nor servname provided, or not known)""))"
233,PDF batch 233/6155 (1 references),1,ConnectionError,"HTTPSConnectionPool(host='dev.posit.niehs.nih.gov', port=443): Max retries exceeded with url: /et/api/pdf-download (Caused by NameResolutionError(""HTTPSConnection(host='dev.posit.niehs.nih.gov', port=443): Failed to resolve 'dev.posit.niehs.nih.gov' ([Errno 8] nodename nor servname provided, or not known)""))"
234,PDF batch 234/6155 (1 references),1,ConnectionError,"HTTPSConnectionPool(host='dev.posit.niehs.nih.gov', port=443): Max retries exceeded with url: /et/api/pdf-download (Caused by NameResolutionError(""HTTPSConnection(host='dev.posit.niehs.nih.gov', port=443): Failed to resolve 'dev.posit.niehs.nih.gov' ([Errno 8] nodename nor servname provided, or not known)""))"
236,PDF batch 236/6155 (1 references),1,ConnectionError,"HTTPSConnectionPool(host='dev.posit.niehs.nih.gov', port=443): Max retries exceeded with url: /et/api/pdf-download (Caused by NameResolutionError(""HTTPSConnection(host='dev.posit.niehs.nih.gov', port=443): Failed to resolve 'dev.posit.niehs.nih.gov' ([Errno 8] nodename nor servname provided, or not known)""))"
235,PDF batch 235/6155 (1 references),1,ConnectionError,"HTTPSConnectionPool(host='dev.posit.niehs.nih.gov', port=443): Max retries exceeded with url: /et/api/pdf-download (Caused by NameResolutionError(""HTTPSConnection(host='dev.posit.niehs.nih.gov', port=443): Failed to resolve 'dev.posit.niehs.nih.gov' ([Errno 8] nodename nor servname provided, or not known)""))"
237,PDF batch 237/6155 (1 references),1,ConnectionError,"HTTPSConnectionPool(host='dev.posit.niehs.nih.gov', port=443): Max retries exceeded with url: /et/api/pdf-download (Caused by NameResolutionError(""HTTPSConnection(host='dev.posit.niehs.nih.gov', port=443): Failed to resolve 'dev.posit.niehs.nih.gov' ([Errno 8] nodename nor servname provided, or not known)""))"
238,PDF batch 238/6155 (1 references),1,ConnectionError,"HTTPSConnectionPool(host='dev.posit.niehs.nih.gov', port=443): Max retries exceeded with url: /et/api/pdf-download (Caused by NameResolutionError(""HTTPSConnection(host='dev.posit.niehs.nih.gov', port=443): Failed to resolve 'dev.posit.niehs.nih.gov' ([Errno 8] nodename nor servname provided, or not known)""))"
240,PDF batch 240/6155 (1 references),1,ConnectionError,"HTTPSConnectionPool(host='dev.posit.niehs.nih.gov', port=443): Max retries exceeded with url: /et/api/pdf-download (Caused by NameResolutionError(""HTTPSConnection(host='dev.posit.niehs.nih.gov', port=443): Failed to resolve 'dev.posit.niehs.nih.gov' ([Errno 8] nodename nor servname provided, or not known)""))"
239,PDF batch 239/6155 (1 references),1,ConnectionError,"HTTPSConnectionPool(host='dev.posit.niehs.nih.gov', port=443): Max retries exceeded with url: /et/api/pdf-download (Caused by NameResolutionError(""HTTPSConnection(host='dev.posit.niehs.nih.gov', port=443): Failed to resolve 'dev.posit.niehs.nih.gov' ([Errno 8] nodename nor servname provided, or not known)""))"
241,PDF batch 241/6155 (1 references),1,ConnectionError,"HTTPSConnectionPool(host='dev.posit.niehs.nih.gov', port=443): Max retries exceeded with url: /et/api/pdf-download (Caused by NameResolutionError(""HTTPSConnection(host='dev.posit.niehs.nih.gov', port=443): Failed to resolve 'dev.posit.niehs.nih.gov' ([Errno 8] nodename nor servname provided, or not known)""))"
243,PDF batch 243/6155 (1 references),1,ConnectionError,"HTTPSConnectionPool(host='dev.posit.niehs.nih.gov', port=443): Max retries exceeded with url: /et/api/pdf-download (Caused by NameResolutionError(""HTTPSConnection(host='dev.posit.niehs.nih.gov', port=443): Failed to resolve 'dev.posit.niehs.nih.gov' ([Errno 8] nodename nor servname provided, or not known)""))"
242,PDF batch 242/6155 (1 references),1,ConnectionError,"HTTPSConnectionPool(host='dev.posit.niehs.nih.gov', port=443): Max retries exceeded with url: /et/api/pdf-download (Caused by NameResolutionError(""HTTPSConnection(host='dev.posit.niehs.nih.gov', port=443): Failed to resolve 'dev.posit.niehs.nih.gov' ([Errno 8] nodename nor servname provided, or not known)""))"
244,PDF batch 244/6155 (1 references),1,ConnectionError,"HTTPSConnectionPool(host='dev.posit.niehs.nih.gov', port=443): Max retries exceeded with url: /et/api/pdf-download (Caused by NameResolutionError(""HTTPSConnection(host='dev.posit.niehs.nih.gov', port=443): Failed to resolve 'dev.posit.niehs.nih.gov' ([Errno 8] nodename nor servname provided, or not known)""))"
245,PDF batch 245/6155 (1 references),1,ConnectionError,"HTTPSConnectionPool(host='dev.posit.niehs.nih.gov', port=443): Max retries exceeded with url: /et/api/pdf-download (Caused by NameResolutionError(""HTTPSConnection(host='dev.posit.niehs.nih.gov', port=443): Failed to resolve 'dev.posit.niehs.nih.gov' ([Errno 8] nodename nor servname provided, or not known)""))"
246,PDF batch 246/6155 (1 references),1,ConnectionError,"HTTPSConnectionPool(host='dev.posit.niehs.nih.gov', port=443): Max retries exceeded with url: /et/api/pdf-download (Caused by NameResolutionError(""HTTPSConnection(host='dev.posit.niehs.nih.gov', port=443): Failed to resolve 'dev.posit.niehs.nih.gov' ([Errno 8] nodename nor servname provided, or not known)""))"
247,PDF batch 247/6155 (1 references),1,ConnectionError,"HTTPSConnectionPool(host='dev.posit.niehs.nih.gov', port=443): Max retries exceeded with url: /et/api/pdf-download (Caused by NameResolutionError(""HTTPSConnection(host='dev.posit.niehs.nih.gov', port=443): Failed to resolve 'dev.posit.niehs.nih.gov' ([Errno 8] nodename nor servname provided, or not known)""))"
248,PDF batch 248/6155 (1 references),1,ConnectionError,"HTTPSConnectionPool(host='dev.posit.niehs.nih.gov', port=443): Max retries exceeded with url: /et/api/pdf-download (Caused by NameResolutionError(""HTTPSConnection(host='dev.posit.niehs.nih.gov', port=443): Failed to resolve 'dev.posit.niehs.nih.gov' ([Errno 8] nodename nor servname provided, or not known)""))"
249,PDF batch 249/6155 (1 references),1,ConnectionError,"HTTPSConnectionPool(host='dev.posit.niehs.nih.gov', port=443): Max retries exceeded with url: /et/api/pdf-download (Caused by NameResolutionError(""HTTPSConnection(host='dev.posit.niehs.nih.gov', port=443): Failed to resolve 'dev.posit.niehs.nih.gov' ([Errno 8] nodename nor servname provided, or not known)""))"
250,PDF batch 250/6155 (1 references),1,ConnectionError,"HTTPSConnectionPool(host='dev.posit.niehs.nih.gov', port=443): Max retries exceeded with url: /et/api/pdf-download (Caused by NameResolutionError(""HTTPSConnection(host='dev.posit.niehs.nih.gov', port=443): Failed to resolve 'dev.posit.niehs.nih.gov' ([Errno 8] nodename nor servname provided, or not known)""))"
251,PDF batch 251/6155 (1 references),1,ConnectionError,"HTTPSConnectionPool(host='dev.posit.niehs.nih.gov', port=443): Max retries exceeded with url: /et/api/pdf-download (Caused by NameResolutionError(""HTTPSConnection(host='dev.posit.niehs.nih.gov', port=443): Failed to resolve 'dev.posit.niehs.nih.gov' ([Errno 8] nodename nor servname provided, or not known)""))"
252,PDF batch 252/6155 (1 references),1,ConnectionError,"HTTPSConnectionPool(host='dev.posit.niehs.nih.gov', port=443): Max retries exceeded with url: /et/api/pdf-download (Caused by NameResolutionError(""HTTPSConnection(host='dev.posit.niehs.nih.gov', port=443): Failed to resolve 'dev.posit.niehs.nih.gov' ([Errno 8] nodename nor servname provided, or not known)""))"
253,PDF batch 253/6155 (1 references),1,ConnectionError,"HTTPSConnectionPool(host='dev.posit.niehs.nih.gov', port=443): Max retries exceeded with url: /et/api/pdf-download (Caused by NameResolutionError(""HTTPSConnection(host='dev.posit.niehs.nih.gov', port=443): Failed to resolve 'dev.posit.niehs.nih.gov' ([Errno 8] nodename nor servname provided, or not known)""))"
254,PDF batch 254/6155 (1 references),1,ConnectionError,"HTTPSConnectionPool(host='dev.posit.niehs.nih.gov', port=443): Max retries exceeded with url: /et/api/pdf-download (Caused by NameResolutionError(""HTTPSConnection(host='dev.posit.niehs.nih.gov', port=443): Failed to resolve 'dev.posit.niehs.nih.gov' ([Errno 8] nodename nor servname provided, or not known)""))"
255,PDF batch 255/6155 (1 references),1,ConnectionError,"HTTPSConnectionPool(host='dev.posit.niehs.nih.gov', port=443): Max retries exceeded with url: /et/api/pdf-download (Caused by NameResolutionError(""HTTPSConnection(host='dev.posit.niehs.nih.gov', port=443): Failed to resolve 'dev.posit.niehs.nih.gov' ([Errno 8] nodename nor servname provided, or not known)""))"
256,PDF batch 256/6155 (1 references),1,ConnectionError,"HTTPSConnectionPool(host='dev.posit.niehs.nih.gov', port=443): Max retries exceeded with url: /et/api/pdf-download (Caused by NameResolutionError(""HTTPSConnection(host='dev.posit.niehs.nih.gov', port=443): Failed to resolve 'dev.posit.niehs.nih.gov' ([Errno 8] nodename nor servname provided, or not known)""))"
258,PDF batch 258/6155 (1 references),1,ConnectionError,"HTTPSConnectionPool(host='dev.posit.niehs.nih.gov', port=443): Max retries exceeded with url: /et/api/pdf-download (Caused by NameResolutionError(""HTTPSConnection(host='dev.posit.niehs.nih.gov', port=443): Failed to resolve 'dev.posit.niehs.nih.gov' ([Errno 8] nodename nor servname provided, or not known)""))"
257,PDF batch 257/6155 (1 references),1,ConnectionError,"HTTPSConnectionPool(host='dev.posit.niehs.nih.gov', port=443): Max retries exceeded with url: /et/api/pdf-download (Caused by NameResolutionError(""HTTPSConnection(host='dev.posit.niehs.nih.gov', port=443): Failed to resolve 'dev.posit.niehs.nih.gov' ([Errno 8] nodename nor servname provided, or not known)""))"
