id,dataset_name,dataset_provider,dataset_type,variables_used,geographic_coverage,time_period,access_type,source_paper,evidence_sentence,citation,confidence,review_status,reviewer_notes
dataset-0001,Medicare,CMS,health claims,PM2.5; particulate matter; air pollution; NO2; O3,United States,not specified,public or controlled; verify source,Case-Crossover Analysis of Short-Term Particulate Matter and Health Outcomes in Patients With Atrial Fibrillation.,"METHODS: Using 2021 Medicare data, we identified patients with established AF residing in western US states.",PMID: 42500877,high,pending,
dataset-0002,Sentinel,ESA,satellite remote sensing,PM2.5; particulate matter,not specified,not specified,public or controlled; verify source,"Fine Particulate Matter (PM2.5), the Exposome, and Cumulative Health Risk: A Life-course Perspective.","Positioning PM2.5 as a sentinel indicator of cumulative environmental risk provides a unifying framework for exposome-informed science and supports the development of more precise, equitable, and policy-relevant interventions",PMID: 42442744,high,pending,
